place_id,name,latitude,longitude,regular,premium,diesel
2039,"ESTACION DE SERVICIO CALAFIA, S.A. DE C.V.",32.47641,-116.9214,20.99,24.99,23.39
2040,"LAS MEJORES ESTACIONES, S.A DE C.V",20.3037,-99.74484,22.81,24.03,
2041,"DIAZ GAS, S.A. DE C.V.",31.71947,-106.4514,17.65,20.07,
2042,"COMBU-EXPRESS, S.A. DE C.V.",20.71413,-103.3042,22.14,,
2043,"PETROMAX, S.A. DE C.V.",26.03787,-98.29977,18.19,,
2044,"ESTACION RAEL, S. DE R.L. DE C.V.",32.51342,-117.0715,21.59,24.99,
2045,MULTISERVICIOS LA PILARICA SA DE CV ,25.7558,-108.9685,24.05,25.11,
2046,"PETROMAX, S.A. DE C.V.",25.77202,-100.2918,22.59,,
2047,"ESTACION RAEL, S. DE R.L. DE C.V.",31.86546,-116.6079,21.39,24.69,23.19
2048,"ESTACION PIRU, S.A. DE C.V.",32.31202,-117.0457,21.69,24.49,
2049,"PETROMAX, S.A. DE C.V.",25.65562,-100.184,23.49,,
2050,AUTOSERVICIO BERLANGA S.A. DE C.V.,26.92554,-101.4189,21.89,24.75,
2051,"PETROMAX, S.A. DE C.V.",25.83842,-97.44485,17.59,16.6,
2052,"GRUPO OCTANO, S.A. DE C.V.",21.4739,-105.1947,23.99,,25.29
2053,"CIRCULO DOS, S.A. DE C.V.",32.5279,-117.0271,21.79,24.99,
2054,"Servicio Sevilla, S.A. de C.V.",19.58616,-99.1973,21.99,24.79,
2055,"PETROMAX, S.A. DE C.V.",25.6788,-100.2365,22.99,,
2056,"GASOLINERA HUITEPEC, S.A. DE C.V.",16.73187,-92.65437,22.3,,
2057,"PETROMAX, S.A. DE C.V.",26.0139,-98.20425,18.19,,
2058,"ENERGIA Y SERVICIOS COORDINADOS, S.A. DE C.V.",24.02956,-104.6217,23.19,25.09,24.69
2059,SERVICIO SIERRA DE ARTEAGA SA DE CV,25.57358,-100.9057,23.89,,
2060,COMBUSTIBLES Y LUBRICANTES ATENAS SA DE CV,28.73367,-106.1008,21.9,,
2061,"GRUPO OCTANO, S.A. DE C.V.",19.77838,-103.9754,24.34,,
2062,Becktrop Operadora SA de CV,32.45102,-117.0249,21.99,,
2063,YLIGARZA S.A. DE C.V.,25.73174,-100.2726,23.45,23.95,
2064,"ESTACION LA VICTORIA, S.A. DE C.V.",32.53171,-117.0466,21.75,,
2065,"PETROMAX, S.A. DE C.V.",25.68592,-100.4652,21.99,,
2066,"ESTACION LA VICTORIA, S.A. DE C.V.",32.51045,-117.0226,20.75,24.65,
2067,"PETROMAX, S.A. DE C.V.",25.66026,-100.1466,22.99,,
2068,"PETROMAX, S.A. DE C.V.",25.44151,-100.9274,22.99,,
2069,"PETROMAX, S.A. DE C.V.",26.06297,-98.32712,18.19,,
2070,RAMCAL SA DE CV,19.03549,-104.2109,22.99,,
2071,"Gasomac, S.A. de C.V.",19.3231,-99.13844,21.98,,23.99
2072,"Autoconsumo los Pinos, S.A. de C.V. ",19.30205,-99.16505,23.59,25.49,
2073,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",25.77298,-109.0001,24.15,,
2074,"PETROMAX, S.A. DE C.V.",25.2563,-101.1169,23.89,25.19,
2075,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",22.12339,-102.2834,22.99,25.59,24.69
2076,OLEUM GAS S.A. DE C.V.,16.73384,-93.09296,20.77,23.34,23.64
2077,"SERVICIOS DEL VALLE DEL FUERTE, S.A. DE C.V.",25.96616,-109.2961,23.35,,
2078,"Gasolinería Cid, S.A. de C.V.",19.64046,-99.36308,22.49,24.79,23.19
2079,"Gasolinería Perseo, S.A. de C.V.",19.74912,-99.11606,22.19,24.29,23.59
2080,MULTISERVICIOS LA PILARICA SA DE CV ,25.9744,-109.2856,23.95,24.9,
2081,"PETROMAX, S.A. DE C.V.",26.06025,-98.35571,18.19,,
2082,"PETROMAX, S.A. DE C.V.",25.7805,-100.1759,24.09,25.69,
2083,"PETROMAX, S.A. DE C.V.",20.73139,-103.4519,22.59,,
2084,"SERVICIO AVENIDA, S.A. DE C.V.",21.89668,-102.3053,22.57,,23.79
2085,"ESTACION DE SERVICIO LEON, S.DER.L. DE C.V.",21.09879,-101.6677,21.29,24.99,24.79
2086,"PETROMAX, S.A. DE C.V.",32.63511,-115.3865,21.49,,
2087,"ESTACION DE SERVICIO PITS, S. DE R.L. DE C.V.",32.49946,-116.7158,21.85,24.79,
2088,GRUPO GOCALVI SA DE CV,31.5649,-106.3973,17.69,,
2089,"Socombumex, S.A. de C.V.",19.07791,-104.288,23.19,24.19,24.69
2090,"Gasolinería Segovia, S.A. de C.V.",19.60755,-98.99508,22.99,24.99,24.29
2091,SERVICIO LOS OLIVOS S.A. DE C.V.(E4394),31.7838,-116.5917,21.4,,
2092,MULTISERVICIOS LA PILARICA SA DE CV ,25.80147,-108.9855,24.07,25.13,25.13
2093,"GRUPO OCTANO, S.A. DE C.V.",19.79169,-100.9704,22.78,25.38,24.94
2094,"PETROMAX, S.A. DE C.V.",25.82625,-100.2963,24.09,25.69,
2095,"GRUPO OCTANO, S.A. DE C.V.",21.52222,-104.8868,23.3,25.99,24.99
2096,"Inmobiliaria Corredor Tultitlán, S.A. de C.V. ",19.67871,-99.10838,22.99,25.59,23.99
2097,"PETROMAX, S.A. DE C.V.",32.60843,-115.4722,21.19,23.59,
